iter	MultiClass
0	1.092345773
1	1.086028491
2	1.079792079
3	1.073791468
4	1.0680607
5	1.062462711
6	1.056716458
7	1.050967058
8	1.045368853
9	1.04002171
10	1.034709636
11	1.029585854
12	1.024535977
13	1.019552127
14	1.014615892
15	1.00991696
16	1.005236688
17	1.000765565
18	0.9963754067
19	0.9920200631
20	0.9877297335
21	0.983551702
22	0.9794717914
23	0.9755585665
24	0.9714586809
25	0.9675815672
26	0.9636934733
27	0.9599436259
28	0.9561325488
29	0.9524808636
30	0.9488956408
31	0.9453609319
32	0.9418818214
33	0.9385080732
34	0.9352091541
35	0.9318858248
36	0.9287160415
37	0.9254186787
38	0.9223036224
39	0.9193047156
40	0.9162164779
41	0.9132593634
42	0.9104516101
43	0.9076076994
44	0.9046674743
45	0.9017252707
46	0.8990398147
47	0.8962924986
48	0.8937328775
49	0.8910332493
50	0.888441039
51	0.8859450488
52	0.8836124769
53	0.8811455681
54	0.8785546971
55	0.8762203331
56	0.8738989781
57	0.8715227007
58	0.869153741
59	0.8669066772
60	0.8647248338
61	0.8625511527
62	0.8603044197
63	0.8580959522
64	0.8560081637
65	0.8540810116
66	0.8520577468
67	0.849911235
68	0.8479053083
69	0.8460104732
70	0.8440698706
71	0.8421411487
72	0.8402990456
73	0.8385071517
74	0.8367210259
75	0.834788314
76	0.8330309293
77	0.8311072881
78	0.8293271571
79	0.8277132607
80	0.8260727774
81	0.8244270402
82	0.8228364042
83	0.8211752157
84	0.8195768652
85	0.8180460604
86	0.8163639337
87	0.8149003817
88	0.8133008895
89	0.8118631874
90	0.8103509455
91	0.8088585714
92	0.8074575672
93	0.8059848877
94	0.8044906721
95	0.8031367021
96	0.8016888249
97	0.8003348761
98	0.7990431421
99	0.7976577996
100	0.7963985553
101	0.7949921464
102	0.7937415883
103	0.7925662042
104	0.7912399578
105	0.789952227
106	0.7886860219
107	0.7874517547
108	0.7861658442
109	0.7849107077
110	0.7838216403
111	0.7827604614
112	0.7815744654
113	0.7805027191
114	0.7792986105
115	0.7781429823
116	0.7770012049
117	0.7759685434
118	0.7750261516
119	0.7739179013
120	0.7728686068
121	0.7718186318
122	0.7707915199
123	0.7698302509
124	0.7689400868
125	0.7680408819
126	0.7669818168
127	0.7661763055
128	0.7652549913
129	0.7642938107
130	0.7634490004
131	0.7625325789
132	0.7616240071
133	0.7606242016
134	0.7596936275
135	0.7588436703
136	0.7580505111
137	0.7571762051
138	0.7562991358
139	0.7554065343
140	0.754559739
141	0.7537395731
142	0.7529689558
143	0.7521709347
144	0.7514367607
145	0.7506726722
146	0.7498515633
147	0.7491109452
148	0.7482969091
149	0.7475316673
150	0.7468263386
151	0.7460906182
152	0.745415691
153	0.7447390969
154	0.743983174
155	0.7432841806
156	0.7425890643
157	0.7419761645
158	0.7412327044
159	0.7405198891
160	0.7397935869
161	0.7391924214
162	0.7385790989
163	0.7380761182
164	0.7374958865
165	0.736799684
166	0.7361613775
167	0.7356228117
168	0.7350410076
169	0.7343907932
170	0.7339431088
171	0.7332775417
172	0.7327336014
173	0.7322053937
174	0.7316268803
175	0.7310362529
176	0.730449286
177	0.7299486808
178	0.729318133
179	0.7287070659
180	0.7280701712
181	0.7275699083
182	0.7269889338
183	0.7264636499
184	0.7260439148
185	0.7256124636
186	0.7252123275
187	0.7247361662
188	0.7242795019
189	0.7237844077
190	0.7232763195
191	0.7228909168
192	0.7224241945
193	0.7219725876
194	0.7215024602
195	0.7210226587
196	0.7205084433
197	0.7199314759
198	0.7195423304
199	0.7190629865
200	0.7186715944
201	0.7182083686
202	0.7177679609
203	0.7172739405
204	0.7168053702
205	0.7163943784
206	0.715982431
207	0.715621541
208	0.7152169958
209	0.7148482109
210	0.714466285
211	0.714090396
212	0.7137500496
213	0.7134320086
214	0.7130693584
215	0.7126407069
216	0.7122467699
217	0.7118595441
218	0.7114423862
219	0.7110645241
220	0.7107267322
221	0.710358934
222	0.7100414486
223	0.7096850298
224	0.7093514734
225	0.7090152738
226	0.7087084161
227	0.7083176098
228	0.7079842863
229	0.7077072173
230	0.7073102858
231	0.7069640811
232	0.7067529542
233	0.7064277132
234	0.7061437058
235	0.7058471257
236	0.7054615825
237	0.705111663
238	0.7048085917
239	0.7045140442
240	0.7042524894
241	0.7040068513
242	0.7036824767
243	0.7033746433
244	0.7030280897
245	0.7027198691
246	0.7024516733
247	0.7022075836
248	0.7019298374
249	0.7016565102
250	0.7013375274
251	0.7010653827
252	0.700732743
253	0.7004910257
254	0.700235467
255	0.6999433345
256	0.6997175641
257	0.6994162753
258	0.699199489
259	0.6989017234
260	0.6986165418
261	0.6983219337
262	0.6980801059
263	0.6978472951
264	0.697602479
265	0.6973252901
266	0.6970286834
267	0.6967781533
268	0.696459075
269	0.6962863344
270	0.6959456403
271	0.6957091756
272	0.6955305504
273	0.6953264816
274	0.6951462393
275	0.6949358672
276	0.694749741
277	0.6945256507
278	0.6942968421
279	0.6941265549
280	0.6938496545
281	0.6936786195
282	0.6935017223
283	0.6932423761
284	0.6930679861
285	0.6928308559
286	0.6926060382
287	0.6923948926
288	0.692244359
289	0.6920718343
290	0.6918312713
291	0.6916605444
292	0.6914447111
293	0.691265579
294	0.6910589148
295	0.6909039666
