iter	Passed	Remaining
0	11	22164
1	21	21308
2	32	21951
3	42	21229
4	51	20358
5	59	19867
6	69	19770
7	77	19186
8	85	18877
9	93	18560
10	101	18315
11	109	18184
12	117	18033
13	127	18049
14	135	17911
15	145	18023
16	152	17828
17	161	17774
18	169	17680
19	177	17571
20	185	17449
21	192	17350
22	201	17318
23	210	17294
24	218	17265
25	227	17262
26	235	17214
27	243	17176
28	252	17139
29	261	17175
30	270	17156
31	278	17125
32	286	17069
33	295	17058
34	303	17039
35	311	17014
36	319	16973
37	328	16983
38	336	16913
39	345	16916
40	353	16875
41	361	16865
42	369	16831
43	377	16778
44	386	16792
45	395	16808
46	404	16800
47	412	16781
48	420	16762
49	429	16747
50	438	16743
51	446	16720
52	455	16717
53	462	16673
54	471	16677
55	480	16683
56	488	16653
57	497	16641
58	505	16636
59	513	16609
60	521	16567
61	528	16519
62	538	16558
63	547	16547
64	554	16519
65	563	16508
66	571	16489
67	580	16479
68	588	16462
69	596	16451
70	604	16425
71	613	16426
72	621	16410
73	630	16400
74	639	16403
75	647	16400
76	655	16381
77	664	16383
78	673	16386
79	682	16390
80	691	16375
81	699	16354
82	707	16341
83	716	16338
84	724	16327
85	733	16322
86	741	16309
87	750	16307
88	760	16326
89	768	16308
90	777	16311
91	785	16300
92	793	16267
93	803	16286
94	812	16289
95	821	16292
96	829	16282
97	838	16271
98	847	16273
99	856	16264
100	863	16234
101	873	16254
102	882	16249
103	891	16246
104	899	16237
105	909	16247
106	918	16248
107	927	16252
108	937	16257
109	946	16256
110	954	16250
111	963	16234
112	971	16226
113	981	16236
114	989	16225
115	998	16220
116	1007	16221
117	1017	16223
118	1024	16201
119	1034	16200
120	1043	16205
121	1051	16192
122	1061	16195
123	1070	16190
124	1078	16176
125	1087	16177
126	1097	16189
127	1106	16177
128	1115	16179
129	1123	16167
130	1132	16160
131	1141	16148
132	1150	16149
133	1159	16148
134	1169	16155
135	1177	16144
136	1186	16141
137	1194	16120
138	1203	16115
139	1213	16117
140	1222	16113
141	1231	16113
142	1239	16099
143	1247	16082
144	1256	16068
145	1265	16071
146	1274	16061
147	1282	16045
148	1290	16033
149	1299	16024
150	1307	16005
151	1315	15991
152	1323	15971
153	1331	15965
154	1340	15957
155	1350	15962
156	1360	15967
157	1367	15943
158	1377	15946
159	1385	15937
160	1394	15932
161	1403	15922
162	1411	15903
163	1419	15891
164	1428	15881
165	1437	15877
166	1446	15878
167	1454	15860
168	1463	15856
169	1472	15853
170	1480	15836
171	1490	15836
172	1499	15840
173	1508	15831
174	1517	15830
175	1526	15822
176	1536	15826
177	1544	15808
178	1553	15805
179	1562	15800
180	1572	15805
181	1580	15790
182	1590	15787
183	1598	15778
184	1606	15762
185	1615	15750
186	1622	15735
187	1632	15735
188	1650	15815
189	1661	15829
190	1671	15833
191	1679	15819
192	1688	15806
193	1696	15789
194	1706	15792
195	1715	15790
196	1724	15779
197	1734	15787
198	1742	15772
199	1752	15768
200	1760	15755
201	1768	15744
202	1777	15734
203	1785	15722
204	1794	15712
205	1803	15708
206	1817	15738
207	1826	15735
208	1836	15741
209	1847	15749
210	1858	15756
211	1866	15741
212	1874	15725
213	1882	15712
214	1890	15699
215	1899	15691
216	1909	15693
217	1918	15683
218	1927	15674
219	1936	15668
220	1944	15650
221	1952	15640
222	1960	15619
223	1968	15610
224	1977	15602
225	1985	15588
226	1993	15570
227	2002	15564
228	2011	15558
229	2019	15539
230	2028	15532
231	2037	15524
232	2045	15515
233	2054	15506
234	2062	15492
235	2072	15489
236	2081	15481
237	2091	15483
238	2100	15475
239	2108	15462
240	2117	15452
241	2127	15453
242	2136	15444
243	2144	15436
244	2154	15435
245	2164	15434
246	2172	15421
247	2181	15411
248	2189	15400
249	2198	15389
250	2208	15386
251	2216	15373
252	2225	15364
253	2233	15349
254	2241	15341
255	2250	15329
256	2258	15318
257	2269	15321
258	2276	15304
259	2285	15293
260	2294	15285
261	2303	15282
262	2312	15275
263	2321	15264
264	2330	15257
265	2339	15252
266	2347	15238
267	2356	15231
268	2366	15229
269	2375	15218
270	2383	15208
271	2393	15203
272	2400	15185
273	2408	15173
274	2417	15163
275	2424	15146
276	2433	15136
277	2442	15131
278	2451	15122
