iter	MultiClass
0	1.092371006
1	1.08607859
2	1.079870542
3	1.073880513
4	1.068165413
5	1.06257277
6	1.056838448
7	1.051259369
8	1.045680144
9	1.040463015
10	1.035163526
11	1.030086111
12	1.025060538
13	1.020048764
14	1.01512544
15	1.010286
16	1.005617088
17	1.001159251
18	0.9967957204
19	0.9924348456
20	0.9881544437
21	0.9839832982
22	0.9799128681
23	0.9758867103
24	0.9717951983
25	0.9679261341
26	0.9640494513
27	0.960303391
28	0.9565009159
29	0.9529328295
30	0.9493656244
31	0.9458197856
32	0.9422990629
33	0.9389413317
34	0.9356621791
35	0.9323582464
36	0.929201581
37	0.9259249083
38	0.9228207357
39	0.9198341002
40	0.9167532191
41	0.9138060477
42	0.9109748383
43	0.9080987993
44	0.9051802814
45	0.9022512496
46	0.8994493406
47	0.896695509
48	0.8941416434
49	0.8915072078
50	0.8889138944
51	0.8864208784
52	0.8840890375
53	0.8816293531
54	0.8790256257
55	0.8766915718
56	0.8743904024
57	0.8720267206
58	0.8696645848
59	0.8674248843
60	0.8652443932
61	0.8630793576
62	0.8608314511
63	0.8586307125
64	0.8564824982
65	0.8545592316
66	0.8526332057
67	0.8504981886
68	0.8485039087
69	0.8466091232
70	0.8446731807
71	0.8427444637
72	0.8409059705
73	0.8391041443
74	0.8373163135
75	0.8353885458
76	0.8336626327
77	0.8317474987
78	0.8300360418
79	0.828422501
80	0.8267688973
81	0.8251188956
82	0.8234606333
83	0.821797516
84	0.8201959784
85	0.8186648094
86	0.8169988524
87	0.8154967826
88	0.8138667193
89	0.8124821146
90	0.8108530878
91	0.8093836445
92	0.8079847408
93	0.8065099433
94	0.8050002261
95	0.8036409615
96	0.8022308056
97	0.8008841277
98	0.7995704645
99	0.7982034922
100	0.7969452136
101	0.7954910963
102	0.7942548713
103	0.7930995616
104	0.7917776503
105	0.7904936275
106	0.78922075
107	0.7879916346
108	0.7866922594
109	0.7854375223
110	0.7843460883
111	0.7832881021
112	0.7821053323
113	0.7810318959
114	0.7798356986
115	0.778676503
116	0.7775286332
117	0.7764929198
118	0.7755520013
119	0.7744465494
120	0.7733898318
121	0.7723419004
122	0.7713306465
123	0.7704028516
124	0.7695165527
125	0.7686174531
126	0.7675568354
127	0.7667536793
128	0.7658791817
129	0.7649186533
130	0.7640716673
131	0.7631545612
132	0.7622425376
133	0.7612466467
134	0.7603154291
135	0.7593555003
136	0.7585395544
137	0.7576664761
138	0.7567843644
139	0.7559004677
140	0.7550495623
141	0.7542188039
142	0.7534408484
143	0.7526469494
144	0.7519144676
145	0.7511123852
146	0.7502549094
147	0.7495170693
148	0.748671556
149	0.7478935334
150	0.7472110297
151	0.746466484
152	0.7457777401
153	0.745102906
154	0.7443557312
155	0.7436608381
156	0.7429660189
157	0.7423554542
158	0.741612722
159	0.7409040303
160	0.7401793881
161	0.7395075284
162	0.7388466912
163	0.7383045182
164	0.7376512398
165	0.737050654
166	0.7363995592
167	0.7358797248
168	0.7352416652
169	0.7345956342
170	0.7341019559
171	0.7334708432
172	0.7329312898
173	0.7324052854
174	0.7317777968
175	0.7311935315
176	0.7306069069
177	0.7300727508
178	0.7294514083
179	0.7288512624
180	0.7282243558
181	0.727727868
182	0.7271690349
183	0.7266998722
184	0.7262829674
185	0.7258528564
186	0.7254520045
187	0.7249762058
188	0.7245228176
189	0.7240202899
